,coctkail,x,y
0,Alaska,4.515561,4.86306
1,Alexander,-7.243929,-12.092857
2,Algonquin,-18.242083,3.3634539
3,Americano,-0.2840795,8.200419
4,Aviation,8.242719,-13.479815
5,Bacardi Cocktail,-9.192368,-6.86815
6,Bellini,-0.4372111,-8.194958
7,Bermuda Rum Swizzle,-15.1985035,5.0402155
8,Between The Sheets,-12.574752,-0.49245474
9,Bijou,5.1734624,5.0228577
10,Bistro Sidecar,-6.933074,9.102447
11,Black Feather,5.9021397,-1.8915405
12,Black Russian,-0.7520869,16.402641
13,Blood And Sand,-14.319396,-12.851722
14,Bloody Mary,-15.417524,12.059158
15,Bloomsbury,-7.445923,-19.189014
16,Bobbo's Bride,5.295027,12.132012
17,Bobby Burns,-16.281456,-13.4758
18,Bordeaux Cocktail,-7.508069,-17.73021
19,Bourbon Crusta,4.556717,-13.1979265
20,Bridal,9.133616,-11.590901
21,Bronx,9.913447,1.6893488
22,Brooklyn,10.662361,-9.028913
23,Cabaret,9.082073,4.7497563
24,Cable Car,-14.153126,-0.2079379
25,Caesar,-15.097577,12.170621
26,Cafe Diable,-2.5524616,15.897897
27,Caipirinha,-3.641952,10.70458
28,Calvados Cocktail,-0.8029495,0.6666413
29,Camparinete,6.596551,8.395032
30,Captain's Blood,-7.0969696,5.030993
31,Casino,8.461118,-12.9578905
32,Champagne Cocktail,-0.8054755,11.875057
33,Champagne Flamingo,4.4335704,11.261793
34,ChamPino,4.8754344,10.308697
35,Champs Elysées,-4.621789,1.8686086
36,Chaplin,10.331945,-3.5339851
37,Chas,7.809609,-4.551027
38,Chrysanthemum Cocktail,11.75027,4.9312205
39,Clover Club,-5.1679792,-3.8084185
40,Coffee Cocktail,-2.854274,-7.340629
41,Coffee Nudge,-1.2675093,16.337187
42,Combustible Edison,-9.526257,0.053561736
43,Commodore,-8.484175,-11.140947
44,Corpse Reviver #2,-7.352789,-16.461935
45,Country Gentleman,-2.5112202,1.0905824
46,Cuba Libre,-9.767652,4.8239336
