6;-Alaska;-Sometimes also referred to as an "Emerald Martini", this cocktail celebrates Chartreuse, a wonderfully complex French herbal liqueur;-Garnish: Lemon twist.;-Stir with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=207&width=160
7;-Alexander;-Also often referred to as a “Brandy Alexander”, which suggest you could use other spirits in place of brandy. When faced with the constant request for a “Chocolate Martini” it can usually work to serve this and let folks know it was perhaps the “original”.;-Garnish: Sprinkle of nutmeg;-Shake with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=177&width=160
8;-Algonquin;-This cocktail was named after the Algonquin Hotel, which opened its doors in 1902 in one of New York’s most fashionable neighborhoods. The hotel gained its greatest fame a few years later as the home of the Algonquin Round Table, the ongoing literary lunch started by Murdock Pemberton and Alexander Woollcott in which Harpo Marx, Dorothy Parker, Robert Benchley, George S. Kaufman and their compatriots held sway on New York’s cultural scene. There were in fact several drinks named after this historic venue, but this recipe is the one currently served by the hotel’s bartenders.;-Garnish: Cherry;-Stir with ice (to prevent the pineapple juice from foaming). Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
9;-Americano;-The recipe for the Americano originated in 1861 at Gaspare Campari’s bar in Turin, Italy. But it wasn’t until Prohibition was enacted in the United States (1919-1933), that the drink was dubbed the Americano by Italians, who noticed American visitors favoring this classic aperitif. Ironically, Americans could legally sip Campari cocktails at home during Prohibition. Campari was classified by the government as a medicinal product, not an alcoholic beverage.;-Garnish: Orange wedge or twist of lemon.;-Pour Campari and sweet vermouth into highball glass filled with ice and stir. Top with soda water.;-http://drinkboy.com/ImageHandler.ashx?imageid=203&width=160
10;-Aviation;-This cult favorite first appeared in 1916, in "Recipes for Mixed Drinks", by Hugo Ensslin, head bartender at Times Square’s Hotel Wallick. Ensslin’s original formula called for the drink to also include crème de violette, which tints the drink a light sky blue. It is Harry Craddock's "Savoy Cocktail Book" from 1930 in which we find the version of the Aviation without the crème de violette, but otherwise it is the exact same recipe as Mr. Ensslins.The original 1916 recipe called for 2 parts gin, 1 part lemon juice, 2 dashes of Maraschino liqueur, and 2 dashes of crème de violette.To approximate Ensslin’s original formula, mix 2 oz (60 ml) gin, 0.5 oz (15 ml) lemon juice, 2 tsp maraschino liqueur and 1 tsp crème de violette.;-Garnish: Cherry;-Shake with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=213&width=160
11;-Bacardi Cocktail;-This drink became quite popular after Prohibition (but existed beforehand), many establishments would use whatever rum they happened to have on hand. Bacardi decided enough was enough and took the matter to court in 1936, and New York State sided with Bacardi and ruled that this drink must always be made with Bacardi rum. ;-;-Shake with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
12;-Bellini;-To be authentic, the peach puree should be made from fresh white peaches which have been peeled and then squeezed to release their juices. Or you can use a commercial white peach puree such as from “Perfect Puree of Napa Valley”.;-;-Pour peach puree into a champagne flute, then add champagne.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
13;-Bermuda Rum Swizzle;-This is a popular drink in a variety of bars and restaurant in Bermuda. Many travelers coming back from there will ask me for the recipe, only to discover that falernum is rather hard to find up here. Fortunately that is beginning to change, and a few different brands are now available.To make this as a “true” swizzle, you would use a traditional swizzle stick to mix and froth the drink up. ;-Garnish: Slice of orange and a cherry.;-Shake with ice. Strain into an ice filled highball glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
14;-Between The Sheets;-Not many (proper) cocktails contain more than one base spirit. Since Cointreau is a full-proof product, it can almost be considered a third base spirit in this one!;-Garnish: Lemon twist.;-Shake with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=191&width=160
15;-Bijou;-The Bijou (meaning jewel in French) cocktail was reportedly invented by Harry Johnson in the 1890's. The oldest recipe I have comes from his 1900 "New And Improved Bartenders Manual". Some think this drink should be served as a "layered" cocktail, but this is clearly not the case since Harry Johnson clearly lists the instructions as "mix well with a spoon and serve." I can understand why somebody might think the layered presentation would be more appropriate because of its name, but it was not the way this drink was originally intended to be served.;-Garnish: Cherry and a lemon twist.;-Stir with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=182&width=160
16;-Bistro Sidecar;-;-Garnish: roasted hazlenut;-Shake with ice. Strain into a sugar rimmed cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
17;-Black Feather;-I specifically created this drink to be the "house cocktail" for my home bar, which I’ve nicknamed the "Black Feather". In my original recipe I used my own home-made bitters, but lacking that Angostura, or Fee's Old Fashioned Bitters will work just fine.;-Garnish: Lemon twist;-Stir with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
18;-Black Russian;-;-;-Pour over ice into an Old Fashioned glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
19;-Blood And Sand;-In 1922 Rudolph Valentino starred in the movie “Blood and Sand”, a movie that shortly before his death in 1926 he declared as the part he liked the best. He had just undergone a touchy surgery for appendicitis and gastric ulcers and told the gathering press “The part I like best was my role in ‘Blood and Sand’. If I had died, I would have liked to be remembered as an actor by that role – I think it my greatest.” He died a few days later from peritonitis. It is unknown who actually created the recipe for Blood and Sand, but its first appearance seems to be in “The Savoy Cocktail Book” by Harry Cradock in 1930. There it lists the recipe as equal parts of all three ingredients, but I feel that the recipe works better by boosting the scotch.;-;-Shake with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
20;-Bloody Mary;-;-Garnish: Celery stick, cucumber, asparagus, etc.;-Shake with ice. Strain into an ice filled Double Old Fashioned glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
21;-Bloomsbury;-;-Garnish: Lemon twist;-Stir with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
22;-Bobbo's Bride;-;-Garnish: Slice of fresh peach.;-Stir with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
23;-Bobby Burns;-Fans of the Manhattan will no doubt enjoy the Bobby Burns Cocktail. Named after the Scottish poet, Robert Burns, it will certainly give you poetic inspiration. Grab your kilt and pipes or at least a pen and paper, mix up a Bobby Burns and get writing!;-Garnish: Lemon twist;-Stir with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=178&width=160
24;-Bordeaux Cocktail;-;-Garnish: Lemon twist;-Stir with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
25;-Bourbon Crusta;-The "Crusta" is a style of drink which harkens from the early 1800's. While it never gained the same level of notoriety as the "Cocktail", today's cocktail revival is allowing it to once again make it's way onto drink lists again.;-Garnish: Orange peel.;-Shake with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
26;-Bridal;-I found this drink in the "Old Waldorf-Astoria Bar Book". It is faily similar to the original (ie. sweet) Martini, but with the addition of Maraschino Liqueur;-Garnish: Cherry;-Stir with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=192&width=160
27;-Bronx;-;-;-Shake with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
28;-Brooklyn;-;-;-Stir with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
29;-Cabaret;-;-Garnish: Cherry;-Stir with ice. Strain into a cocktail glass.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
30;-Cable Car;-;-Garnish: Lemon twist and a dusting of cinnamon.;-Shake with ice. Strain into a cocktail glass rimmed with a sugar and cinnamon mixture.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
31;-Caesar;-Apparently invented in 1969 by Walter Chell, the restaurant manager of the Calgary Inn in Calgary, Alberta, Canada. This drink is essentially a Bloody Mary that uses Clamato juice instead of Tomato juice. He spent three months perfecting the drink, ending up with a simple 1-2-3-4 recipe; 1 shot vodka, 2 dashes hot sauce, three dashes of salt and pepper, and four dashes of Worcestershire sauce, topped off with 4 to 6 ounces of Clamato juice, and served with ice in a glass rimmed with celery salt.The Caesar is very popular across Canada, once it was even attempted to make it the nations official drink.;-Garnish: Celery stalk and a lime wedge.;-Shake with ice. Strain into an ice filled glass, rimmed with celery salt.;-http://drinkboy.com/ImageHandler.ashx?imageid=245&width=160
